ETH,SOL,Amount of Nafflings
0x825eAe1fDDFf541B0221b3d3657B504B811128DF,9bqtphCU25AhidVbNw5SXmBTQV5548T9p5sGdq2edPdv,1000
0x82f0a0c4a63b73045aba222e3b67edb152ca1ad1,E8zr6NrLSjmL7pAhcRDe6Kwz9V9TWoSnxaEnRwcALhxd,2000
0x848001492bA51992641F4bbdC109ef0E651e121A,FiycMTyM4b3Q2iWrdEus7U5qiZSCwPBJgvrAH3jA2Fzq,500
0x84aa85eF28F8dea8987A8E8319d4977122B73c4d,EEmwqybNq8VpVmvjcyDZ7bPeAcLMmf6MbwxqKdEK7gZA,500
0x85121245d4e0bd9e3443c6da31d8f498b3f16e46,CK7FDRpRdvmWD7qwinXEig3pNqUKDxHg7Dhbirqt2qmr,1000
0x85B8060a651067f93193b6b77C1a5a5896E229A1,ENFNewmNb6mtzDTWF6qc1mzx1cvKTvaavXEzbuFVHTm8,9000
0x85e41D90D865101bf78567446E2e24ecd9389349,5fcNx99w9jPnLHBRaMoRJhxxjLo9erMzXLtYwCreQvaZ,500
0x86E9069CeB82FE7452C2A959531598b222b772f,3oUZ1Eb4zgS2WJSs3se8fpCNMhV17WWM5Qvv9Lp9j8qz,1000
0x8821126D0b8e24e0663DaCcd8D1D57Fa5fcdb566,DHzE8EtrdnVFnsnDtRkeX8JcL9Gz3Q4JcUfQeMrod18o,500
0x892F34Aae01fC5c106437522dcD9f93A867d607d,EvSQWuHoNQLeFEbmaUQEF3BjDGDLbUMvEAw43PDMCX5P,500
0x8Ad2e05263c876E53Fa6C4440860347C1FD31e89,2bbH7RdA1PhU2sRhU3D1n4Nmfc9tPuVYmhNgwPNRqUq2,500
0x8b18d204301873E64075777b62e2eBBE4e9B0783,0x8b18d204301873E64075777b62e2eBBE4e9B0783,2000
0x8B9cEA890663cEeE52aEB5487AFE4A93B47c13F6,J32tWLXeoBQBbt2yiZd99PgQr6DHFsMVuhvpAnXhbakK,1000
0x8c491a3885Ea5802dEd404734b768304739E9875,4cbMYYdesvCPjaP4HEhDiBbi4a2gX4eG9F9fdQRKyCKB,8000
0x8dE4D75bC45bec78a5d630a3b6AE4902b125ACbF,0x8dE4D75bC45bec78a5d630a3b6AE4902b125ACbF,500
0x8E6E7b46CDef15257a3dEB3Ab4b6431eA5F42940,DRfUqJsACC6BybetuHo3SvNFZNojMSZkDSAuo5xgiDhf,500
0x8eC99a4b9752859c704b5760E7a5b5026F11E05a,32VHRAAf9WFP3ydkaygQ1htKc3L9Kb3gCmTs7Xu8H8ob,1000
0x90cF4fDAB5bbA09f2DF5481c1045E38DFFd0Bee7,CH9D6BR6PnTsi84syRutA9nV4pwBTnx4R6xmL8MjPPaC,500
0x91502eA014d8e4B0920623A3a29A20fe518645D8,3Xjo2hHp5RGe4LZv1fhLXnyGYfYgixmofeUQpc5Vn1qy,2000
0x925bF5B942F4076f6024b695881280655195958E,Ex1gP74ixPo6F9hVKn6K3zzybgHMb4yGJx18Mvk484RB,500
